ds,yhat,yhat_lower,yhat_upper
2022-06-30,43.635418689152154,37.45682699368506,49.87010997841862
2022-07-01,43.83846884030849,37.93614293175332,50.616709061236975
2022-07-04,43.57895179095145,37.16597020773238,50.38148782596958
2022-07-05,44.378343096790665,37.90469218089334,50.65653215607515
2022-07-06,43.92597034121083,37.83552022022052,50.184294869753
2022-07-07,44.39804157250163,38.41216409248241,50.853669998636576
2022-07-08,44.59609727298232,38.81604015527585,50.95910389554964
2022-07-11,44.26450673117144,37.54505329333576,50.72888956511656
2022-07-12,45.021958176592776,38.15677421916045,51.305461151166476
2022-07-13,44.519498707109655,38.56425375006576,51.06057079356675
2022-07-14,44.93397338892281,38.483696097602994,51.4403072877414
2022-07-15,45.067656712917454,38.738013665092474,51.065244785213125
2022-07-18,44.510976065702614,38.522047338757424,50.80135297332145
2022-07-19,45.18603936973999,39.267013212290934,51.31738084354281
2022-07-20,44.59932672118186,38.35766817660187,50.69336423101988
2022-07-21,44.92884553543372,39.389684739963414,51.17112545287314
2022-07-22,44.97806168950601,38.57383804793216,51.61787235690017
2022-07-25,44.18291461636562,37.65911336009813,50.7084625539721
2022-07-26,44.78736035097965,38.47723156114547,50.8709181112672
2022-07-27,44.136295340247614,37.913668717923294,50.44955101038819
2022-07-28,44.40871286866516,37.98659901807704,50.5022056191593
2022-07-29,44.40896358246991,37.693231675976314,49.90959577295843
2022-08-01,43.52270711180604,37.70372506403175,50.51022310994508
2022-08-02,44.116974302064314,38.27729290862451,50.441938942060055
2022-08-03,43.46621931645479,37.47338421953617,49.50296729123534
2022-08-04,43.74941166779084,37.588312361949484,50.23090662526514
2022-08-05,43.77070003252302,37.3218193655643,49.82460143868324
2022-08-08,43.004484456038696,36.82078560143355,49.072633490468704
2022-08-09,43.65536308470163,37.152401084513095,50.32713675457801
2022-08-10,43.06795544085666,36.57056809973034,49.287904533071334
2022-08-11,43.42010231233976,37.01495601211913,49.45386348544689
2022-08-12,43.51472414442043,37.30305297925583,50.022466997549756
2022-08-15,42.981506082119324,36.71574273190724,48.89715087242159
2022-08-16,43.70980673983822,37.4406715936142,49.88293286346408
2022-08-17,43.19743015338515,36.932493863600904,49.16325976189383
2022-08-18,43.62092392733852,37.41519296989556,49.65615333310638
2022-08-19,43.78199741238472,37.488485535263074,50.29534753840273
